flag,continent,country
Y,Africa,Algeria
Y,Africa,Angola
Y,Africa,Benin
Y,Africa,Botswana
Y,Africa,Burkina Faso
Y,Africa,Burundi
Y,Africa,Cameroon
Y,Africa,Cape Verde
Y,Africa,Central African Republic
Y,Africa,Chad
Y,Africa,Comoros
Y,Africa,Côte d'Ivoire
Y,Africa,Democratic Republic of the Congo
Y,Africa,Djibouti
Y,Africa,Egypt
Y,Africa,Equatorial Guinea
Y,Africa,Eritrea
Y,Africa,Eswatini
Y,Africa,Ethiopia
Y,Africa,Gabon
Y,Africa,Gambia
Y,Africa,Ghana
Y,Africa,Guinea
Y,Africa,Guinea-Bissau
Y,Africa,Kenya
Y,Africa,Lesotho
Y,Africa,Liberia
Y,Africa,Libya
Y,Africa,Madagascar
Y,Africa,Malawi
Y,Africa,Mali
Y,Africa,Mauritania
Y,Africa,Mauritius
Y,Africa,Morocco
Y,Africa,Mozambique
Y,Africa,Namibia
Y,Africa,Niger
Y,Africa,Nigeria
Y,Africa,Republic of the Congo
Y,Africa,Rwanda
Y,Africa,Sao Tome and Principe
Y,Africa,Senegal
Y,Africa,Seychelles
Y,Africa,Sierra Leone
Y,Africa,Somalia
Y,Africa,South Africa
Y,Africa,South Sudan
Y,Africa,South Sudan
Y,Africa,Sudan
Y,Africa,Tanzania
Y,Africa,Togo
Y,Africa,Tunisia
Y,Africa,Uganda
Y,Africa,Western Sahara
Y,Africa,Zambia
Y,Africa,Zimbabwe
Y,Antarctica,Antarctica
Y,Asia,Afghanistan
Y,Asia,Armenia
Y,Asia,Azerbaijan
Y,Asia,Bahrain
Y,Asia,Bangladesh
Y,Asia,Bhutan
Y,Asia,Brunei
Y,Asia,Cambodia
Y,Asia,China
Y,Asia,Georgia
Y,Asia,India
Y,Asia,Indonesia
Y,Asia,Iran
Y,Asia,Iraq
Y,Asia,Israel
Y,Asia,Japan
Y,Asia,Jordan
Y,Asia,Kazakhstan
Y,Asia,Kuwait
Y,Asia,Kyrgyzstan
Y,Asia,Laos
Y,Asia,Lebanon
Y,Asia,Malaysia
Y,Asia,Maldives
Y,Asia,Mongolia
Y,Asia,Myanmar
Y,Asia,Nepal
Y,Asia,North Korea
Y,Asia,Oman
Y,Asia,Pakistan
Y,Asia,Palestine
Y,Asia,Palestine
Y,Asia,Philippines
Y,Asia,Qatar
Y,Asia,Saudi Arabia
Y,Asia,Singapore
Y,Asia,South Korea
Y,Asia,Sri Lanka
Y,Asia,Syria
Y,Asia,Taiwan
Y,Asia,Taiwan
Y,Asia,Tajikistan
Y,Asia,Thailand
Y,Asia,Timor-Leste
Y,Asia,Turkmenistan
Y,Asia,United Arab Emirates
Y,Asia,Uzbekistan
Y,Asia,Vietnam
Y,Asia,Yemen
Y,Australia,American Samoa
Y,Australia,Australia
Y,Australia,Christmas Island
Y,Australia,Cocos (Keeling) Islands
Y,Australia,Cook Islands
Y,Australia,Federated States of Micronesia
Y,Australia,Fiji
Y,Australia,French Polynesia
Y,Australia,Guam
Y,Australia,Kiribati
Y,Australia,Marshall Islands
Y,Australia,Nauru
Y,Australia,New Caledonia
Y,Australia,New Zealand
Y,Australia,Niue
Y,Australia,Palau
Y,Australia,Papua New Guinea
Y,Australia,Samoa
Y,Australia,Solomon Islands
Y,Australia,Tonga
Y,Australia,Tuvalu
Y,Australia,Vanuatu
Y,Europe,Albania
Y,Europe,Andorra
Y,Europe,Austria
Y,Europe,Belarus
Y,Europe,Belgium
Y,Europe,Bosnia and Herzegovina
Y,Europe,Bulgaria
Y,Europe,Croatia
Y,Europe,Cyprus
Y,Europe,Czech Republic
Y,Europe,Denmark
Y,Europe,Estonia
Y,Europe,Finland
Y,Europe,France
Y,Europe,Germany
Y,Europe,Greece
Y,Europe,Hungary
Y,Europe,Iceland
Y,Europe,Ireland
Y,Europe,Italy
Y,Europe,Kosovo
Y,Europe,Kosovo
Y,Europe,Latvia
Y,Europe,Liechtenstein
Y,Europe,Lithuania
Y,Europe,Luxembourg
Y,Europe,Malta
Y,Europe,Moldova
Y,Europe,Monaco
Y,Europe,Montenegro
Y,Europe,Netherlands
Y,Europe,North Macedonia
Y,Europe,Norway
Y,Europe,Poland
Y,Europe,Portugal
Y,Europe,Romania
Y,Europe,Russia
Y,Europe,San Marino
Y,Europe,Serbia
Y,Europe,Slovakia
Y,Europe,Slovenia
Y,Europe,Spain
Y,Europe,Sweden
Y,Europe,Switzerland
Y,Europe,Turkey
Y,Europe,Ukraine
Y,Europe,United Kingdom
Y,Europe,Vatican City
Y,Europe,Vatican City
Y,North America,Bahamas
Y,North America,Canada
Y,North America,Cuba
Y,North America,Guatemala
Y,North America,Mexico
Y,North America,USA
Y,South America,Argentina
Y,South America,Bolivia
Y,South America,Brazil
Y,South America,Chile
Y,South America,Colombia
Y,South America,Ecuador
Y,South America,Guyana
Y,South America,Paraguay
Y,South America,Peru
Y,South America,Suriname
Y,South America,Uruguay
Y,South America,Venezuela
